종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"001460","BYC","38600","-600","-1.53","39200","40000","38600","2700","105366000","24110139000","624615"
"001465","BYC(1우)","19400","-100","-0.51","20000","20000","19400","1060","21093000","4178469000","215385"
"014820","EASTEL","6240","-180","-2.80","6530","6600","6200","403070","2567437700","148627814400","23818560"
"014825","EASTEL(1우)","3100","0","0.00","3010","3155","3010","39210","121061250","8226098000","2653580"
"014827","EASTEL(2우B)","7650","-950","-11.05","8250","8600","7340","4600","34707400","978129000","127860"
"017300","KDS","1610","130","8.78","1480","1670","1480","735100","1165041900","83077788710","51601111"
"006200","KEC","11700","550","4.93","11350","11700","11000","54000","614161000","91919575800","7856374"
"008480","KEP전자","425","-70","-14.14","480","495","425","5822580","2557917550","20613241200","48501744"
"018590","KNC","1270","20","1.60","1240","1300","1230","68540","87092000","23136454870","18217681"
"030210","KTB네트워크","3800","250","7.04","3660","3800","3580","414610","1525619650","229193549600","60314092"
"017940","LG가스","9900","50","0.51","10000","10000","9760","174960","1725339300","67914000000","6860000"
"006360","LG건설","4800","380","8.60","4520","4830","4520","2280080","10702295050","244800000000","51000000"
"010120","LG산전","1500","-15","-0.99","1515","1545","1495","157790","240337750","194438379000","129625586"
"001120","LG상사","3120","70","2.30","3080","3150","2970","2298130","7029409300","212160000000","68000000"
"035000","LG애드","29400","1700","6.14","27000","29400","27000","16320","470372000","67208400000","2286000"
"006260","LG전선","10350","-50","-0.48","10700","10700","10350","249080","2601057500","333270000000","32200000"
"002610","LG전자","11950","50","0.42","12000","12250","11850","1316140","15894421000","1853660936500","155118070"
"002615","LG전자(1우)","6310","220","3.61","6100","6320","6100","203860","1274957000","120492901570","19095547"
"005940","LG투자증권","5910","80","1.37","6000","6100","5830","942600","5561353100","723988858950","122502345"
"005945","LG투자증권(1우)","2950","-35","-1.17","2950","3000","2900","171820","509998950","58619355600","19870968"
"002550","LG화재","1360","10","0.74","1350","1360","1310","215590","289416500","81600000000","60000000"
"003550","LG화학","11350","300","2.71","11100","11500","11100","1153210","13018430500","1107915880900","97613734"
"003555","LG화학(1우)","6750","360","5.63","6480","6750","6460","577850","3825149300","88580979000","13123108"
"007700","NSF","2040","80","4.08","2000","2060","1955","145040","290172750","31296578400","15341460"
"010950","S-Oil","27500","200","0.73","27300","28600","27300","90310","2513403000","1548013390000","56291396"
