,종목코드,시가총액,연도,종목명,기업구분
0,005930,185597164620000,2015,삼성전자,B
1,028260,26556606020000,2015,삼성물산,B
2,090430,24231044105000,2015,아모레퍼시픽,B
3,012330,23995262229500,2015,현대모비스,B
4,000270,21322112052200,2015,기아,B
5,018260,19653961200000,2015,삼성에스디에스,B
6,096770,12020523320000,2015,SK이노베이션,B
7,010130,8850030000000,2015,고려아연,B
8,011170,8346064526500,2015,롯데케미칼,B
9,035250,8215315200000,2015,강원랜드,B
10,006400,7839156420000,2015,삼성SDI,B
11,008930,7376932467000,2015,한미사이언스,B
12,023530,7321632390000,2015,롯데쇼핑,B
13,086280,7237500000000,2015,현대글로비스,B
14,001800,6968122106000,2015,오리온홀딩스,B
15,004020,6665616960750,2015,현대제철,B
16,021240,6486195343600,2015,코웨이,B
17,018880,5540844000000,2015,한온시스템,B
18,009240,5448104332000,2015,한샘,B
19,009150,4698233478400,2015,삼성전기,B
20,036570,4670881686000,2015,엔씨소프트,B
21,009830,4404756331200,2015,한화솔루션,B
22,007310,4214000000000,2015,오뚜기,B
23,004800,4126300962500,2015,효성,B
24,012750,3788518046600,2015,에스원,B
25,036460,3401734050000,2015,한국가스공사,B
26,000720,3179207090750,2015,현대건설,B
27,011210,3045849296000,2015,현대위아,B
28,000100,3039068785000,2015,유한양행,B
29,008770,3033879753300,2015,호텔신라,B
30,069960,2960408786500,2015,현대백화점,B
31,000880,2953374159000,2015,한화,B
32,004370,2673321159000,2015,농심,B
33,010140,2504997938100,2015,삼성중공업,B
34,030000,2381353357500,2015,제일기획,B
35,011070,2331210039500,2015,LG이노텍,B
36,047040,2327486772800,2015,대우건설,B
37,004170,2264391630000,2015,신세계,B
38,034020,2186860073600,2015,두산에너빌리티,B
39,006280,2138636454000,2015,녹십자,B
40,014820,2123816662800,2015,동원시스템즈,B
41,000670,2020717880000,2015,영풍,B
42,003490,2017660908800,2015,대한항공,B
43,005250,1972833409500,2015,녹십자홀딩스,B
44,028670,1935128508300,2015,팬오션,B
45,001440,1921514338990,2015,대한전선,B
46,012450,1888771500000,2015,한화에어로스페이스,B
47,000150,1882473588000,2015,두산,B
48,047050,1861877357850,2015,포스코인터내셔널,B
49,000080,1641126497400,2015,하이트진로,B
50,000240,1627853027500,2015,한국앤컴퍼니,B
51,071840,1392855008000,2015,롯데하이마트,B
52,057050,1386000000000,2015,현대홈쇼핑,B
53,000070,1361719089000,2015,삼양홀딩스,B
54,039130,1335861275000,2015,하나투어,B
55,064350,1245250000000,2015,현대로템,B
56,064960,1235810518800,2015,SNT모티브,B
57,003240,1213606000000,2015,태광산업,B
58,010780,1213521541500,2015,아이에스동서,B
59,002350,1190736080950,2015,넥센타이어,B
60,001680,1121817345000,2015,대상,B
61,006650,1118000000000,2015,대한유화,B
62,033920,1073420000000,2015,무학,B
63,081660,1067004521600,2015,휠라홀딩스,B
64,024720,1065475450000,2015,한국콜마홀딩스,B
65,073240,1063293953340,2015,금호타이어,B
66,010620,1042000000000,2015,현대미포조선,B
67,089590,1038860995800,2015,제주항공,B
68,016450,1004000000000,2015,한세예스24홀딩스,B
69,020000,999978000000,2015,한섬,B
70,023590,978092250600,2015,다우기술,B
71,007570,933253216000,2015,일양약품,B
72,002020,928711245000,2015,코오롱,B
73,009970,927220256000,2015,영원무역홀딩스,B
74,004000,918480000000,2015,롯데정밀화학,B
75,020560,903319319950,2015,아시아나항공,B
76,006040,889566400000,2015,동원산업,B
77,003000,867578513050,2015,부광약품,B
78,069620,823805482500,2015,대웅제약,B
79,005740,798650008000,2015,크라운해태홀딩스,B
80,003300,796030521500,2015,한일홀딩스,B
81,000640,791021074500,2015,동아쏘시오홀딩스,B
82,019680,753855365000,2015,대교,B
83,031430,731850000000,2015,신세계인터내셔날,B
84,072710,714219660000,2015,농심홀딩스,B
85,017810,708491670000,2015,풀무원,B
86,014680,701431609500,2015,한솔케미칼,B
87,084690,693470102700,2015,대상홀딩스,B
88,002240,685800000000,2015,고려제강,B
89,009420,677682041400,2015,한올바이오파마,B
90,005180,674810008500,2015,빙그레,B
91,031440,669939040000,2015,신세계푸드,B
92,001520,659826260020,2015,동양,B
93,044820,659789372700,2015,코스맥스비티아이,B
94,003090,658167213600,2015,대웅,B
95,000990,634459997600,2015,DB하이텍,B
96,004710,633448004700,2015,한솔테크닉스,B
97,000230,631715238000,2015,일동홀딩스,B
98,002960,612950000000,2015,한국쉘석유,B
99,012510,608290350000,2015,더존비즈온,B
100,079430,604157750000,2015,현대리바트,S
101,036580,598665470900,2015,팜스코,S
102,015860,589702421850,2015,일진홀딩스,S
103,009290,584492488650,2015,광동제약,S
104,005850,584172802500,2015,에스엘,S
105,007210,582760000000,2015,벽산,S
106,028050,582000000000,2015,삼성엔지니어링,S
107,004490,571900000000,2015,세방전지,S
108,002620,570982500000,2015,제일파마홀딩스,S
109,002320,555624038400,2015,한진,S
110,003920,531360000000,2015,남양유업,S
111,000050,527743947500,2015,경방,S
112,058650,524000000000,2015,세아홀딩스,S
113,002990,515142460400,2015,금호건설,S
114,025860,504240256450,2015,남해화학,S
115,029530,502489445650,2015,신도리코,S
116,001630,497032026000,2015,종근당홀딩스,S
117,093370,495262676080,2015,후성,S
118,008490,491108846850,2015,서흥,S
119,005880,464103576000,2015,대한해운,S
120,001780,462806848680,2015,알루코,S
121,003850,453456000000,2015,보령,S
122,037710,452800000000,2015,광주신세계,S
123,036530,451111730600,2015,SNT홀딩스,S
124,095570,441066018900,2015,AJ네트웍스,S
125,016800,435850000000,2015,퍼시스,S
126,004690,415640062500,2015,삼천리,S
127,014830,406265825100,2015,유니드,S
128,085310,403622820480,2015,엔케이,S
129,097230,398925013500,2015,HJ중공업,S
130,009450,398109687500,2015,경동나비엔,S
131,002810,397668945450,2015,삼영무역,S
132,009410,395752000000,2015,태영건설,S
133,005720,393303714100,2015,넥센,S
134,032350,385857699750,2015,롯데관광개발,S
135,029460,379014908400,2015,케이씨,S
136,011760,378348427600,2015,현대코퍼레이션,S
