종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","2095","-70","-3.23","33","63.48",,,"829","2.53","0","0.00"
"095570","AJ네트웍스","5720","-10","-0.17","1707","3.35","967","5.91","8075","0.71","270","4.72"
"006840","AK홀딩스","17200","-150","-0.86",,,,,"45961","0.37","200","1.16"
"054620","APS홀딩스","15750","-800","-4.83","1179","13.36","785","20.08","10088","1.56","100","0.63"
"265520","AP시스템","18350","-200","-1.08","3932","4.67","4401","4.17","12713","1.44","240","1.31"
"211270","AP위성","10050","100","1.01","99","101.52",,,"5714","1.76","70","0.70"
"027410","BGF","4305","-40","-0.92","684","6.29","669","6.44","16393","0.26","110","2.56"
"282330","BGF리테일","210500","-1500","-0.71","8547","24.63","13348","15.77","46849","4.49","3000","1.43"
"138930","BNK금융지주","6500","-140","-2.11","2341","2.78","2607","2.49","28745","0.23","560","8.62"
"001460","BYC","366000","-4500","-1.21","35764","10.23",,,"577324","0.63","1500","0.41"
"001465","BYC우","142500","1000","0.71",,,,,,,"1550","1.09"
"013720","CBI","408","8","2.00",,,,,"137","2.98","0","0.00"
"001040","CJ","84100","-1400","-1.64","8197","10.26","10834","7.76","151085","0.56","2300","2.73"
"079160","CJ CGV","16950","-700","-3.97",,,,,"5520","3.07","0","0.00"
"035760","CJ ENM","104700","2700","2.65","9332","11.22","5581","18.76","182220","0.57","2100","2.01"
"311690","CJ 바이오사이언스","29000","650","2.29",,,,,"14957","1.94","0","0.00"
"00104K","CJ4우(전환)","72900","-1000","-1.35",,,,,,,"2350","3.22"
"000120","CJ대한통운","93700","-900","-0.95","1841","50.90","10094","9.28","178766","0.52","0","0.00"
"011150","CJ씨푸드","2875","120","4.36","61","47.13",,,"1857","1.55","0","0.00"
"011155","CJ씨푸드1우","25850","950","3.82",,,,,,,"0","0.00"
"001045","CJ우","49200","-600","-1.20",,,,,,,"2350","4.78"
"097950","CJ제일제당","380500","-8000","-2.06","38246","9.95","48554","7.84","381542","1.00","5000","1.31"
"097955","CJ제일제당 우","168500","0","0.00",,,,,,,"5050","3.00"
"051500","CJ프레시웨이","32000","-50","-0.16","2245","14.25","6138","5.21","20715","1.54","300","0.94"
"058820","CMG제약","2150","-35","-1.60","23","93.48",,,"1330","1.62","0","0.00"
"023460","CNH","2800","25","0.90","46","60.87",,,"3826","0.73","20","0.71"
"056730","CNT85","3100","0","0.00",,,,,"295","10.51","0","0.00"
"065770","CS","1500","-15","-0.99",,,,,"1099","1.36","0","0.00"
"083660","CSA 코스믹","980","4","0.41",,,,,"390","2.51","0","0.00"
"000590","CS홀딩스","57600","-2300","-3.84","12789","4.50",,,"226165","0.25","500","0.87"
"012030","DB","803","-4","-0.50","114","7.04",,,"2292","0.35","0","0.00"
"404950","DB금융스팩10호","2010","5","0.25",,,,,,,"0","0.00"
"367340","DB금융스팩8호","2015","0","0.00",,,,,,,"0","0.00"
"367360","DB금융스팩9호","2015","5","0.25",,,,,,,"0","0.00"
"016610","DB금융투자","4100","-120","-2.84","2831","1.45",,,"22133","0.19","500","12.20"
"005830","DB손해보험","65300","-700","-1.06","14482","4.51","12076","5.41","110605","0.59","3500","5.36"
"000990","DB하이텍","37150","-950","-2.49","7292","5.09","9378","3.96","25449","1.46","450","1.21"
"000995","DB하이텍1우","68900","0","0.00",,,,,,,"500","0.73"
"139130","DGB금융지주","6990","-200","-2.78","2886","2.42","2976","2.35","32507","0.22","630","9.01"
"001530","DI동일","15050","-400","-2.59","2200","6.84","2131","7.06","28838","0.52","200","1.33"
"000210","DL","59200","-1600","-2.63","41881","1.41","18525","3.20","173922","0.34","1900","3.21"
"001880","DL건설","14850","350","2.41","7911","1.88","4502","3.30","41105","0.36","750","5.05"
"000215","DL우","33900","-800","-2.31",,,,,,,"1950","5.75"
"375500","DL이앤씨","33750","-1150","-3.30","26903","1.25","10474","3.22","194338","0.17","2700","8.00"
"37550L","DL이앤씨2우(전환)","25700","-950","-3.56",,,,,,,"0","0.00"
"37550K","DL이앤씨우","23300","-500","-2.10",,,,,,,"2750","11.80"
"068790","DMS","5980","-220","-3.55","1354","4.42",,,"10824","0.55","100","1.67"
"007340","DN오토모티브","64100","-1200","-1.84","9379","6.83","17410","3.68","82507","0.78","2000","3.12"
"004840","DRB동일","4080","-70","-1.69",,,,,"18916","0.22","30","0.74"
"241520","DSC인베스트먼트","3395","-125","-3.55","582","5.83",,,"2762","1.23","0","0.00"
"155660","DSR","5530","-270","-4.66","768","7.20",,,"10991","0.50","50","0.90"
"069730","DSR제강","4775","-225","-4.50","529","9.03",,,"10683","0.45","40","0.84"
"017940","E1","45450","-350","-0.76","22789","1.99",,,"226210","0.20","2200","4.84"
"245620","EDGC","1870","-20","-1.06",,,,,"712","2.63","0","0.00"
"037370","EG","7400","-250","-3.27","622","11.90",,,"7528","0.98","0","0.00"
"050120","ES큐브","4250","-70","-1.62","670","6.34",,,"6347","0.67","0","0.00"
"084180","EV수성","1565","85","5.74",,,,,"579","2.70","0","0.00"
"383220","F&F","144500","-3000","-2.03","6061","23.84","14082","10.26","14307","10.10","1100","0.76"
"007700","F&F홀딩스","30450","-1500","-4.69","88031","0.35",,,"49495","0.62","170","0.56"
"214270","FSN","3240","-125","-3.71","4","810.00",,,"3885","0.83","0","0.00"
"130500","GH신소재","4080","-165","-3.89","201","20.30",,,"4636","0.88","0","0.00"
"114090","GKL","18900","-150","-0.79",,,"1125","16.81","6201","3.05","0","0.00"
"078930","GS","43800","-950","-2.12","15304","2.86","20983","2.09","108672","0.40","2000","4.57"
"083450","GST","19600","-500","-2.49","4292","4.57","5169","3.79","16558","1.18","300","1.53"
"006360","GS건설","21150","-1000","-4.51","4834","4.38","5488","3.85","54487","0.39","1300","6.15"
"001250","GS글로벌","2250","-100","-4.26","283","7.95",,,"4013","0.56","0","0.00"
"007070","GS리테일","28150","-1050","-3.60","9096","3.09","2160","13.03","39822","0.71","1200","4.26"
"078935","GS우","34100","-150","-0.44",,,,,,,"2050","6.01"
"297890","HB솔루션","12150","-400","-3.19","509","23.87","1268","9.58","6224","1.95","0","0.00"
"078150","HB테크놀러지","1920","-15","-0.78","151","12.72",,,"2364","0.81","20","1.04"
"012630","HDC","5490","-170","-3.00","2069","2.65",,,"43552","0.13","250","4.55"
"039570","HDC랩스","7600","-390","-4.88","593","12.82",,,"11102","0.68","450","5.92"
"089470","HDC현대EP","3955","-70","-1.74","356","11.11",,,"10379","0.38","140","3.54"
"294870","HDC현대산업개발","10000","-200","-1.96","2679","3.73",,,"43665","0.23","600","6.00"
"267250","HD현대","57100","-3000","-4.99",,,"18332","3.11","89404","0.64","5550","9.72"
"097230","HJ중공업","3915","20","0.51",,,,,"5189","0.75","0","0.00"
"195940","HK이노엔","37050","-150","-0.40","984","37.65","1939","19.10","39819","0.93","320","0.86"
"014790","HL D&I","2680","-125","-4.46","1122","2.39","977","2.74","8822","0.30","100","3.73"
"028300","HLB","28400","-1100","-3.73",,,,,"3850","7.38","0","0.00"
"003580","HLB글로벌","5470","-140","-2.50",,,,,"2559","2.14","0","0.00"
"067630","HLB생명과학","10600","-200","-1.85",,,,,"2458","4.31","0","0.00"
"047920","HLB제약","10600","-250","-2.30",,,,,"3004","3.53","0","0.00"
"115450","HLB테라퓨틱스","11200","250","2.28",,,,,"3705","3.02","0","0.00"
"204320","HL만도","40300","-1800","-4.28","3567","11.30","5367","7.51","41672","0.97","800","1.99"
"060980","HL홀딩스","30750","350","1.15","10531","2.92","11271","2.73","102145","0.30","2000","6.50"
"011200","HMM","19550","-550","-2.74","13506","1.45","5116","3.82","21179","0.92","600","3.07"
"403870","HPSP","53500","-2400","-4.29","2130","25.12","4793","11.16","3157","16.95","0","0.00"
"036640","HRS","5200","-220","-4.06","1303","3.99",,,"6224","0.84","200","3.85"
"082740","HSD엔진","7420","10","0.13",,,"722","10.27","3511","2.11","0","0.00"
"351340","IBKS제13호스팩","1995","0","0.00",,,,,,,"0","0.00"
"388790","IBKS제16호스팩","2265","-50","-2.16",,,,,,,"0","0.00"
"405350","IBKS제17호스팩","2375","0","0.00",,,,,,,"0","0.00"
"424760","IBKS제18호스팩","2135","0","0.00",,,,,,,"0","0.00"
"426550","IBKS제19호스팩","2075","-5","-0.24",,,,,,,"0","0.00"
"439730","IBKS제20호스팩","2045","5","0.25",,,,,,,"0","0.00"
"442770","IBKS제21호스팩","2040","5","0.25",,,,,,,"0","0.00"
"003560","IHQ","423","-11","-2.53",,,,,"800","0.53","0","0.00"
"095340","ISC","31350","-800","-2.49","2202","14.24","3704","8.46","14083","2.23","200","0.64"
"099520","ITX-AI","2570","0","0.00",,,,,"622","4.13","0","0.00"
"175330","JB금융지주","7890","-20","-0.25","2510","3.14","3041","2.59","21392","0.37","599","7.59"
"234080","JW생명과학","12150","-200","-1.62","829","14.66",,,"8492","1.43","500","4.12"
"067290","JW신약","3630","-130","-3.46","18","201.67",,,"1149","3.16","0","0.00"
"001060","JW중외제약","18900","-450","-2.33",,,"1816","10.41","8650","2.18","325","1.72"
"001067","JW중외제약2우B","65100","400","0.62",,,,,,,"325","0.50"
"001065","JW중외제약우","32350","-550","-1.67",,,,,,,"350","1.08"
"096760","JW홀딩스","2980","-30","-1.00",,,,,"1356","2.20","90","3.02"
"035900","JYP Ent.","67800","900","1.35","2038","33.27","2632","25.76","7451","9.10","369","0.54"
"318000","KBG","5720","-150","-2.56","494","11.58",,,"3904","1.47","100","1.75"
"024840","KBI메탈","1310","-55","-4.03",,,,,"2939","0.45","0","0.00"
"105560","KB금융","48500","-950","-1.92","11134","4.36","11916","4.07","121808","0.40","2940","6.06"
"024120","KB오토시스","3660","-160","-4.19",,,,,"8880","0.41","120","3.28"
"002380","KCC","204500","-14500","-6.62",,,"44500","4.60","657509","0.31","7000","3.42"
"021320","KCC건설","6770","-70","-1.02","2363","2.87","935","7.24","22186","0.31","180","2.66"
"344820","KCC글라스","36950","-550","-1.47","7353","5.03",,,"87084","0.42","2400","6.50"
"036670","KCI","8890","-60","-0.67","944","9.42",,,"7674","1.16","200","2.25"
"009070","KCTC","4550","-160","-3.40","681","6.68",,,"7431","0.61","60","1.32"
