종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
5930,삼성전자,55300,-1300,-2.3,56000,56200,55300,11295935,6.28654E+11,3.30129E+14,5969782550
373220,LG에너지솔루션,435500,-1000,-0.23,435500,442500,432500,265226,1.16157E+11,1.01907E+14,234000000
207940,삼성바이오로직스,821000,-9000,-1.08,822000,831000,820000,35179,28994143000,5.84339E+13,71174000
660,SK하이닉스,75000,-1000,-1.32,75200,75600,74700,1736661,1.30328E+11,5.46002E+13,728002365
51910,LG화학,600000,-2000,-0.33,597000,607000,593000,103968,62525555000,4.23554E+13,70592343
5935,삼성전자우,50500,-800,-1.56,51000,51100,50400,722569,36552249900,4.15558E+13,822886700
6400,삼성SDI,591000,-12000,-1.99,604000,606000,591000,197767,1.18177E+11,4.06398E+13,68764530
5380,현대차,151000,-3000,-1.95,153000,154000,150500,552974,83810742000,3.22639E+13,213668187
35420,NAVER,177500,-2500,-1.39,180000,185000,177500,656658,1.18186E+11,2.91187E+13,164049085
270,기아,59300,-1600,-2.63,60500,60600,59300,1172767,70005059900,2.4038E+13,405363347
35720,카카오,53100,-500,-0.93,53500,55300,52900,1319611,70904387100,2.36513E+13,445410387
5490,POSCO홀딩스,276500,-14500,-4.98,288500,289000,276000,606222,1.6985E+11,2.33839E+13,84571230
68270,셀트리온,160500,-5000,-3.02,164500,165000,159500,432740,69698211500,2.25992E+13,140805210
28260,삼성물산,113500,-4500,-3.81,117000,117500,113000,280073,32121871000,2.12117E+13,186887081
105560,KB금융,48500,-950,-1.92,48950,49400,48500,707932,34593164150,1.98315E+13,408897068
12330,현대모비스,200500,-6500,-3.14,205000,205500,200000,215394,43471715000,1.89042E+13,94285094
55550,신한지주,35200,-700,-1.95,35500,35900,35200,1032343,36599415200,1.79092E+13,508784869
96770,SK이노베이션,154000,-2500,-1.6,155000,156500,153000,201938,31184459500,1.42397E+13,92465564
32830,삼성생명,71000,-1000,-1.39,71100,71900,70600,211081,15039355000,1.42E+13,200000000
66570,LG전자,86500,-2900,-3.24,88500,89400,86500,451139,39440513200,1.41555E+13,163647814
34730,SK,189000,-7500,-3.82,195000,196000,189000,143674,27418995000,1.40142E+13,74149329
15760,한국전력,21800,-650,-2.9,22300,22750,21650,2756682,61083024700,1.39948E+13,641964077
3670,포스코케미칼,180000,1000,0.56,180000,185000,179500,548339,99599363500,1.39434E+13,77463220
33780,KT&G,91500,100,0.11,90500,92000,90500,307887,28154576800,1.25623E+13,137292497
86790,하나금융지주,42050,-100,-0.24,42050,42550,41750,723264,30524577600,1.24427E+13,295903476
3550,LG,78100,-1400,-1.76,78100,79400,78000,169981,13326789500,1.22852E+13,157300993
323410,카카오뱅크,24300,-750,-2.99,24850,25400,23950,1906638,46672888750,1.15844E+13,476723937
51900,LG생활건강,722000,-17000,-2.3,733000,736000,704000,84144,60616040000,1.12763E+13,15618197
10130,고려아연,564000,-11000,-1.91,567000,575000,560000,48740,27589122000,1.12028E+13,19863158
17670,SK텔레콤,47400,-800,-1.66,48150,48200,47400,407839,19456420650,1.03727E+13,218833144
329180,현대중공업,116000,-4500,-3.73,120000,120000,115500,116649,13644530000,1.02977E+13,88773116
36570,엔씨소프트,448000,14500,3.34,443000,464500,443000,173209,78794226500,9.8354E+12,21954022
34020,두산에너빌리티,15400,-300,-1.91,15750,16200,15350,4185941,65680740200,9.82994E+12,638308033
9150,삼성전기,130500,-3500,-2.61,133000,133500,130000,280030,36745738500,9.74753E+12,74693696
11200,HMM,19550,-550,-2.74,19900,20000,19500,1774831,34894537650,9.56072E+12,489039496
18260,삼성에스디에스,123000,-2500,-1.99,124500,125500,123000,62223,7707206500,9.51747E+12,77377800
810,삼성화재,200000,-6000,-2.91,203500,204500,198500,66949,13468668000,9.47497E+12,47374837
10950,S-Oil,83400,-2900,-3.36,85000,85200,82600,350223,29288792100,9.3894E+12,112582792
