회사명,거래소코드,회계년도,배당성향,자본(*)(IFRS연결)(천원),자본(*)(IFRS)(천원)
(주)DB하이텍,000990,2000/12,22,,
(주)DB하이텍,000990,2001/12,20,,
(주)DB하이텍,000990,2002/12,29.36,,
(주)DB하이텍,000990,2003/12,36.68,,
(주)DB하이텍,000990,2004/12,11.68,,
(주)DB하이텍,000990,2005/12,21.19,,
(주)DB하이텍,000990,2006/12,113.16,,
(주)DB하이텍,000990,2007/12,0,835716158,884960459
(주)DB하이텍,000990,2008/12,0,844331741,860588250
(주)DB하이텍,000990,2009/12,0,607545037,630803625
(주)DB하이텍,000990,2010/12,0,398016157,376915607
(주)DB하이텍,000990,2011/12,0,308061688,291709498
(주)DB하이텍,000990,2012/12,0,290893335,274553219
(주)DB하이텍,000990,2013/12,0,204756748,197287466
(주)DB하이텍,000990,2014/12,0,120702734,136104062
(주)DB하이텍,000990,2015/12,0,254057491,277662952
(주)DB하이텍,000990,2016/12,0,341917315,364450453
(주)DB하이텍,000990,2017/12,14.74,455797946,441546809
(주)DB하이텍,000990,2018/12,11.42,558391531,542557222
(주)DB하이텍,000990,2019/12,12.55,644650730,645305205
(주)DB하이텍,000990,2020/12,9.18,794584513,795236817
(주)DB하이텍,000990,2021/12,6.17,1106049706,1105960952
(주)DB하이텍,000990,2022/12,10.12,1638284078,1637313496
(주)DB하이텍,000990,2023/12,,1740082438,1728002899
(주)HJ중공업,097230,2007/12,74.97,936466000,936433000
(주)HJ중공업,097230,2008/12,7.51,2104845000,2104845000
(주)HJ중공업,097230,2009/12,23.02,2080926000,2081259000
(주)HJ중공업,097230,2010/12,0,1955791000,2001312000
(주)HJ중공업,097230,2011/12,0,1866848000,1874877000
(주)HJ중공업,097230,2012/12,0,1715516000,1863529000
(주)HJ중공업,097230,2013/12,0,1638998000,1804609000
(주)HJ중공업,097230,2014/12,0,1573076000,1761886000
(주)HJ중공업,097230,2015/12,0,1368589000,1377529000
(주)HJ중공업,097230,2016/12,0,895183000,904150000
(주)HJ중공업,097230,2017/12,0,577198000,563410000
(주)HJ중공업,097230,2018/12,0,-708186000,-398930000
(주)HJ중공업,097230,2019/12,0,244994000,247272000
(주)HJ중공업,097230,2020/12,0,320003000,320418000
(주)HJ중공업,097230,2021/12,0,432005000,432198000
(주)HJ중공업,097230,2022/12,0,384990000,385156000
(주)MH에탄올,023150,2000/12,0,,
(주)MH에탄올,023150,2001/12,0,,
(주)MH에탄올,023150,2002/12,25.06,,
(주)MH에탄올,023150,2003/12,25.47,,
(주)MH에탄올,023150,2004/12,17.78,,
(주)MH에탄올,023150,2005/12,37.49,,
(주)MH에탄올,023150,2006/12,75.11,,
(주)MH에탄올,023150,2007/12,40.36,,36597472
(주)MH에탄올,023150,2008/12,0,34442994,34442994
(주)MH에탄올,023150,2009/12,0,45096297,45096297
(주)MH에탄올,023150,2010/12,0,46625147,52983762
(주)MH에탄올,023150,2011/12,0,42667338,56161251
(주)MH에탄올,023150,2012/12,0,39678259,58712944
(주)MH에탄올,023150,2013/12,0,45885523,47119925
(주)MH에탄올,023150,2014/12,31.95,52788681,52507884
(주)MH에탄올,023150,2015/12,23.49,57884347,57569789
(주)MH에탄올,023150,2016/12,26.58,63581883,63257513
(주)MH에탄올,023150,2017/12,40.91,106837344,64698932
(주)MH에탄올,023150,2018/12,35.83,91585473,68471529
(주)MH에탄올,023150,2019/12,0,79389077,59477642
(주)MH에탄올,023150,2020/12,196.99,80425495,57609425
(주)MH에탄올,023150,2021/12,46.13,84703339,58057496
(주)MH에탄올,023150,2022/12,28.62,95397727,62445745
(주)MH에탄올,023150,2023/12,,99070017,67325051
(주)SH에너지화학,002360,2000/06,0,,
(주)SH에너지화학,002360,2001/06,0,,
(주)SH에너지화학,002360,2002/06,0,,
(주)SH에너지화학,002360,2003/06,0,,
(주)SH에너지화학,002360,2004/06,0,,
(주)SH에너지화학,002360,2005/06,0,,
