일자,KOFR,30일평균(%),90일평균(%),180일평균(%),KOFR Index
2024.03.26,,3.46381,3.55934,3.60754,1115.92152
2024.03.25,3.409,3.47633,3.56159,3.61099,1115.81731
2024.03.22,3.491,3.49873,3.56622,3.61372,1115.49724
2024.03.21,3.569,3.50214,3.56689,3.61424,1115.38818
2024.03.20,3.55,3.50739,3.56765,3.61488,1115.27971
2024.03.19,3.437,3.5166,3.57059,3.61594,1115.1747
2024.03.18,3.348,3.52878,3.57506,3.61747,1115.07242
2024.03.15,3.342,3.56294,3.58845,3.62208,1114.76621
2024.03.14,3.27,3.57545,3.59367,3.62406,1114.66635
2024.03.13,3.284,3.58771,3.59869,3.62597,1114.56607
2024.03.12,3.336,3.59823,3.60294,3.62757,1114.46421
2024.03.11,3.448,3.60503,3.60577,3.62857,1114.35894
2024.03.08,3.591,3.60996,3.60972,3.62918,1114.03013
2024.03.07,3.422,3.61645,3.61267,3.63033,1113.9257
2024.03.06,3.419,3.62291,3.61456,3.63149,1113.82137
2024.03.05,3.417,3.627,3.61652,3.63211,1113.71711
2024.03.04,3.42,3.63101,3.61847,3.63275,1113.61277
2024.02.29,3.437,3.64989,3.62596,3.63588,1113.19348
2024.02.28,3.43,3.6506,3.6285,3.6369,1113.08888
2024.02.27,3.555,3.64807,3.62913,3.63725,1112.98048
2024.02.26,3.66,3.64204,3.62868,3.63688,1112.86889
2024.02.23,3.784,3.61102,3.62373,3.63363,1112.52288
2024.02.22,3.707,3.60553,3.62294,3.63298,1112.4099
2024.02.21,3.651,3.60339,3.62279,3.63265,1112.29864
2024.02.20,3.671,3.59996,3.62243,3.63221,1112.18678
2024.02.19,3.707,3.59534,3.62138,3.63148,1112.07384
2024.02.16,3.713,3.57658,3.61859,3.62886,1111.73456
2024.02.15,3.666,3.57116,3.61829,3.62835,1111.62291
2024.02.14,3.668,3.56397,3.61771,3.62783,1111.51121
2024.02.13,3.644,3.55763,3.61687,3.62744,1111.40025
2024.02.08,3.652,3.53049,3.61412,3.62598,1110.84452
2024.02.07,3.616,3.5236,3.61359,3.62593,1110.73448
2024.02.06,3.616,3.51646,3.61251,3.62586,1110.62445
2024.02.05,3.612,3.50946,3.61148,3.62546,1110.51455
2024.02.02,3.54,3.49809,3.60832,3.62506,1110.19153
2024.02.01,3.593,3.49846,3.60657,3.62437,1110.08226
2024.01.31,3.613,3.50684,3.6046,3.62358,1109.97239
2024.01.30,3.565,3.51685,3.60367,3.62289,1109.86399
2024.01.29,3.451,3.53067,3.60471,3.62286,1109.75906
2024.01.26,3.48,3.55125,3.6034,3.62282,1109.44173
2024.01.25,3.474,3.55577,3.60302,3.62272,1109.33615
2024.01.24,3.469,3.56108,3.60416,3.62265,1109.23073
2024.01.23,3.543,3.56393,3.60445,3.62212,1109.12307
2024.01.22,3.587,3.56532,3.60375,3.62143,1109.01408
2024.01.19,3.569,3.57335,3.60155,3.62025,1108.68885
2024.01.18,3.505,3.58144,3.6014,3.62041,1108.5824
2024.01.17,3.503,3.58973,3.60099,3.62058,1108.47602
2024.01.16,3.504,3.59743,3.60053,3.62085,1108.36962
2024.01.15,3.453,3.60685,3.60095,3.62111,1108.26478
2024.01.12,3.455,3.63419,3.60367,3.62197,1107.95015
2024.01.11,3.479,3.64162,3.60448,3.62213,1107.84456
2024.01.10,3.528,3.64925,3.60372,3.62202,1107.73749
2024.01.09,3.528,3.65446,3.60303,3.62214,1107.63043
2024.01.08,3.41,3.66365,3.60367,3.62278,1107.52696
2024.01.05,3.403,3.68557,3.60595,3.62588,1107.21727
2024.01.04,3.405,3.69188,3.60668,3.62689,1107.11399
2024.01.03,3.471,3.6957,3.6074,3.62753,1107.00872
2024.01.02,3.604,3.69587,3.60758,3.6271,1106.89943
