,종목코드,종목명
0,005930,삼성전자
1,207940,삼성바이오로직스
2,006400,삼성SDI
3,000270,기아
4,035720,카카오
5,068270,셀트리온
6,028260,삼성물산
7,012330,현대모비스
8,096770,SK이노베이션
9,010130,고려아연
10,036570,엔씨소프트
11,034020,두산에너빌리티
12,009150,삼성전기
13,018260,삼성에스디에스
14,003490,대한항공
15,259960,크래프톤
16,009830,한화솔루션
17,090430,아모레퍼시픽
18,377300,카카오페이
19,352820,하이브
20,086280,현대글로비스
21,011170,롯데케미칼
22,011070,LG이노텍
23,251270,넷마블
24,271560,오리온
25,035250,강원랜드
26,267250,HD현대
27,010140,삼성중공업
28,028050,삼성엔지니어링
29,018880,한온시스템
30,000100,유한양행
31,021240,코웨이
32,004020,현대제철
33,000720,현대건설
34,161390,한국타이어앤테크놀로지
35,012450,한화에어로스페이스
36,128940,한미약품
37,241560,두산밥캣
38,010620,현대미포조선
39,036460,한국가스공사
40,008770,호텔신라
41,137310,에스디바이오센서
42,064350,현대로템
43,028670,팬오션
44,112610,씨에스윈드
45,047050,포스코인터내셔널
46,139480,이마트
47,030000,제일기획
48,307950,현대오토에버
49,023530,롯데쇼핑
50,180640,한진칼
51,006040,동원산업
52,012750,에스원
53,008930,한미사이언스
54,004370,농심
55,004170,신세계
56,014680,한솔케미칼
57,111770,영원무역
58,081660,휠라홀딩스
59,026960,동서
60,272210,한화시스템
61,000880,한화
62,336260,두산퓨얼셀
63,007310,오뚜기
64,001440,대한전선
65,069620,대웅제약
66,000080,하이트진로
67,016710,대성홀딩스
68,047040,대우건설
69,000990,DB하이텍
70,005070,코스모신소재
71,004690,삼천리
72,298020,효성티앤씨
73,006280,녹십자
74,298050,효성첨단소재
75,004000,롯데정밀화학
76,004800,효성
77,001570,금양
78,069960,현대백화점
79,000150,두산
80,011210,현대위아
81,000240,한국앤컴퍼니
82,003090,대웅
83,014820,동원시스템즈
84,089590,제주항공
85,019170,신풍제약
86,012510,더존비즈온
87,042700,한미반도체
88,006650,대한유화
89,000670,영풍
90,145720,덴티움
91,271940,일진하이솔루스
92,005850,에스엘
93,336370,솔루스첨단소재
94,009240,한샘
95,032350,롯데관광개발
96,020560,아시아나항공
97,089860,롯데렌탈
98,093370,후성
99,185750,종근당
100,161890,한국콜마
101,039130,하나투어
102,001800,오리온홀딩스
103,003230,삼양식품
104,103140,풍산
105,353200,대덕전자
106,009420,한올바이오파마
107,008730,율촌화학
108,031430,신세계인터내셔날
109,377740,바이오노트
110,010780,아이에스동서
111,248070,솔루엠
112,192080,더블유게임즈
113,023590,다우기술
114,272450,진에어
115,192820,코스맥스
116,009970,영원무역홀딩스
117,003240,태광산업
118,214320,이노션
119,300720,한일시멘트
120,002840,미원상사
121,005250,녹십자홀딩스
122,073240,금호타이어
123,249420,일동제약
124,001680,대상
125,009900,명신산업
126,016380,KG스틸
127,298040,효성중공업
128,005420,코스모화학
129,403550,쏘카
130,005880,대한해운
131,005690,파미셀
132,020000,한섬
133,013890,지누스
134,284740,쿠쿠홈시스
135,057050,현대홈쇼핑
136,000640,동아쏘시오홀딩스
137,003850,보령
138,003000,부광약품
139,105630,한세실업
140,064960,SNT모티브
141,192650,드림텍
142,195870,해성디에스
143,002350,넥센타이어
144,003520,영진약품
145,004490,세방전지
146,000070,삼양홀딩스
147,192400,쿠쿠홀딩스
148,004360,세방
149,241590,화승엔터프라이즈
150,381970,케이카
151,011000,진원생명과학
152,018250,애경산업
153,014830,유니드
154,036420,콘텐트리중앙
155,363280,티와이홀딩스
156,170900,동아에스티
157,005950,이수화학
158,097520,엠씨넥스
159,009450,경동나비엔
160,017960,한국카본
161,003070,코오롱글로벌
162,006110,삼아알미늄
163,004890,동일산업
164,002240,고려제강
165,007460,에이프로젠
166,058650,세아홀딩스
167,161000,애경케미칼
168,033240,자화전자
169,017810,풀무원
170,025860,남해화학
171,004430,송원산업
172,003220,대원제약
173,145990,삼양사
174,091810,티웨이항공
175,226320,잇츠한불
176,102460,이연제약
177,008490,서흥
178,005180,빙그레
179,007690,국도화학
180,007570,일양약품
181,306200,세아제강
182,286940,롯데정보통신
183,183190,아세아시멘트
