,종목코드,시가총액,연도,종목명,기업구분
0,005930,195466220199000,2014,삼성전자,B
1,012330,22973151668000,2014,현대모비스,B
2,018260,22710384300000,2014,삼성에스디에스,B
3,028260,21330000000000,2014,삼성물산,B
4,000270,21200503048100,2014,기아,B
5,090430,12977784780000,2014,아모레퍼시픽,B
6,086280,10931250000000,2014,현대글로비스,B
7,023530,8597013516000,2014,롯데쇼핑,B
8,006400,7976685480000,2014,삼성SDI,B
9,096770,7868819496400,2014,SK이노베이션,B
10,010130,7614045000000,2014,고려아연,B
11,004020,7400911284000,2014,현대제철,B
12,035250,6503791200000,2014,강원랜드,B
13,021240,6493907823200,2014,코웨이,B
14,001800,6064593535000,2014,오리온홀딩스,B
15,011170,5484067040000,2014,롯데케미칼,B
16,018880,5167184000000,2014,한온시스템,B
17,011210,4786334608000,2014,현대위아,B
18,000720,4688077706500,2014,현대건설,B
19,010140,4605963950700,2014,삼성중공업,B
20,036460,4574109150000,2014,한국가스공사,B
21,009150,4085745171200,2014,삼성전기,B
22,036570,3991082004000,2014,엔씨소프트,B
23,008770,3587278259400,2014,호텔신라,B
24,047050,3581409351950,2014,포스코인터내셔널,B
25,069960,2878500243000,2014,현대백화점,B
26,003490,2784149533100,2014,대한항공,B
27,012750,2705541473600,2014,에스원,B
28,009240,2694634756000,2014,한샘,B
29,011070,2662549537500,2014,LG이노텍,B
30,034020,2510642754400,2014,두산에너빌리티,B
31,047040,2448017337820,2014,대우건설,B
32,004800,2402033922000,2014,효성,B
33,000880,2342460468750,2014,한화,B
34,000670,2280445520000,2014,영풍,B
35,000240,2274343229850,2014,한국앤컴퍼니,B
36,000150,2201536908000,2014,두산,B
37,030000,1978709070000,2014,제일기획,B
38,009830,1910886937800,2014,한화솔루션,B
39,000100,1890356547000,2014,유한양행,B
40,004170,1781977761000,2014,신세계,B
41,064350,1695750000000,2014,현대로템,B
42,007310,1671840000000,2014,오뚜기,B
43,057050,1656000000000,2014,현대홈쇼핑,B
44,000080,1630606455750,2014,하이트진로,B
45,006280,1601055706000,2014,녹십자,B
46,071840,1593520560000,2014,롯데하이마트,B
47,004370,1535867105000,2014,농심,B
48,073240,1527793837860,2014,금호타이어,B
49,028050,1516000000000,2014,삼성엔지니어링,B
50,010620,1394000000000,2014,현대미포조선,B
51,020560,1391072732450,2014,아시아나항공,B
52,003240,1287090400000,2014,태광산업,B
53,010780,1275399873450,2014,아이에스동서,B
54,012450,1267150500000,2014,한화에어로스페이스,B
55,002350,1229302431750,2014,넥센타이어,B
56,009970,1212204128800,2014,영원무역홀딩스,B
57,081660,1164953561000,2014,휠라홀딩스,B
58,001680,1149346605000,2014,대상,B
59,003300,1097843041500,2014,한일홀딩스,B
60,006040,1045955200000,2014,동원산업,B
61,033920,1032625000000,2014,무학,B
62,005250,982889589000,2014,녹십자홀딩스,B
63,039130,904900811500,2014,하나투어,B
64,004700,890984492000,2014,조광피혁,B
65,004000,843660000000,2014,롯데정밀화학,B
66,008930,842874425550,2014,한미사이언스,B
67,031430,813960000000,2014,신세계인터내셔날,B
68,020000,801706500000,2014,한섬,B
69,069620,778617840000,2014,대웅제약,B
70,000070,768215108700,2014,삼양홀딩스,B
71,002990,747598871700,2014,금호건설,B
72,005180,742783571400,2014,빙그레,B
73,024720,708131376000,2014,한국콜마홀딩스,B
74,029530,683425966200,2014,신도리코,B
75,011760,669894060000,2014,현대코퍼레이션,B
76,079430,654216535000,2014,현대리바트,B
77,002320,649026355200,2014,한진,B
78,058650,648000000000,2014,세아홀딩스,B
79,002240,633750000000,2014,고려제강,B
80,084690,608370638400,2014,대상홀딩스,B
81,064960,604942212000,2014,SNT모티브,B
82,019680,596308064000,2014,대교,B
83,005850,589252566000,2014,에스엘,B
84,014820,579113273700,2014,동원시스템즈,B
85,008490,577298738700,2014,서흥,B
86,005880,571336927200,2014,대한해운,B
87,004690,563648475000,2014,삼천리,B
88,028670,558872792500,2014,팬오션,B
89,003000,553526795800,2014,부광약품,B
90,004490,553000000000,2014,세방전지,B
91,009290,550418935500,2014,광동제약,B
92,000640,544513306500,2014,동아쏘시오홀딩스,B
93,023590,536156073150,2014,다우기술,B
94,002960,528450000000,2014,한국쉘석유,B
95,003090,525022079400,2014,대웅,B
96,000050,498957914000,2014,경방,B
97,036580,495827230500,2014,팜스코,B
98,016450,494000000000,2014,한세예스24홀딩스,B
99,037710,491200000000,2014,광주신세계,B
100,072710,482330160000,2014,농심홀딩스,S
101,004150,464600605500,2014,한솔홀딩스,S
102,006650,460850000000,2014,대한유화,S
103,003920,460080000000,2014,남양유업,S
104,097230,454672226925,2014,HJ중공업,S
105,025860,450587106010,2014,남해화학,S
106,005720,442657479000,2014,넥센,S
107,014680,439947845250,2014,한솔케미칼,S
108,008060,438190774000,2014,대덕,S
109,044820,436018013400,2014,코스맥스비티아이,S
110,016580,427801610000,2014,환인제약,S
111,017810,422809545000,2014,풀무원,S
112,009680,422400000000,2014,모토닉,S
113,007570,422328041600,2014,일양약품,S
114,003200,412800000000,2014,일신방직,S
115,031440,412419120000,2014,신세계푸드,S
116,042700,412012024200,2014,한미반도체,S
117,002810,393552289700,2014,삼영무역,S
118,012320,386812800000,2014,경동인베스트,S
119,079980,386400000000,2014,휴비스,S
120,007210,380508000000,2014,벽산,S
121,014830,378641467500,2014,유니드,S
122,000230,377274378250,2014,일동홀딩스,S
123,009410,374742000000,2014,태영건설,S
124,000430,372000000000,2014,대원강업,S
125,009450,369445790000,2014,경동나비엔,S
126,016800,361675000000,2014,퍼시스,S
127,032350,343360166400,2014,롯데관광개발,S
128,005810,335736905950,2014,풍산홀딩스,S
129,004970,335200000000,2014,신라교역,S
130,015860,333588985080,2014,일진홀딩스,S
131,000320,331285136100,2014,노루홀딩스,S
132,004360,329280000000,2014,세방,S
133,002030,324271552000,2014,아세아,S
134,003120,321860000000,2014,일성신약,S
135,002620,321502500000,2014,제일파마홀딩스,S
