,종목코드,종목명,시가총액,기업구분,PBR,1/PBR
0,5930,삼성전자,330129000000000.0,B,1.27,L
1,207940,삼성바이오로직스,58433900000000.0,B,11.01,L
2,6400,삼성SDI,40639800000000.0,B,2.69,L
3,270,기아,24038000000000.0,B,0.68,H
4,35720,카카오,23651300000000.0,B,2.31,L
5,68270,셀트리온,22599200000000.0,B,5.89,L
6,28260,삼성물산,21211700000000.0,B,0.62,H
7,12330,현대모비스,18904200000000.0,B,0.52,H
8,96770,SK이노베이션,14239700000000.0,B,0.75,H
9,10130,고려아연,11202800000000.0,B,1.31,L
10,36570,엔씨소프트,9835400000000.0,B,2.89,L
11,34020,두산에너빌리티,9829940000000.0,B,1.37,L
12,9150,삼성전기,9747530000000.0,B,1.47,L
13,18260,삼성에스디에스,9517470000000.0,B,1.32,L
14,3490,대한항공,8450660000000.0,B,1.19,L
15,259960,크래프톤,8245700000000.0,B,1.71,L
16,9830,한화솔루션,8224980000000.0,B,1.01,L
17,90430,아모레퍼시픽,8042750000000.0,B,1.99,L
18,377300,카카오페이,7208750000000.0,B,4.22,L
19,352820,하이브,7174810000000.0,B,2.55,L
20,86280,현대글로비스,6131250000000.0,B,1.06,L
21,11170,롯데케미칼,6118160000000.0,B,0.45,H
22,11070,LG이노텍,5975940000000.0,B,1.8,L
23,251270,넷마블,5191590000000.0,B,0.85,H
24,271560,오리온,5060620000000.0,B,2.29,L
25,35250,강원랜드,4963420000000.0,B,1.45,L
26,267250,HD현대,4510510000000.0,B,0.64,H
27,10140,삼성중공업,4496800000000.0,B,1.06,L
28,28050,삼성엔지니어링,4361000000000.0,B,2.18,L
29,18880,한온시스템,4318440000000.0,B,1.84,L
30,100,유한양행,4188840000000.0,B,2.11,L
31,21240,코웨이,4125400000000.0,B,2.13,L
32,4020,현대제철,4083440000000.0,B,0.23,H
33,720,현대건설,3886320000000.0,B,0.54,H
34,161390,한국타이어앤테크놀로지,3858710000000.0,B,0.47,H
35,12450,한화에어로스페이스,3726370000000.0,B,1.29,L
36,128940,한미약품,3670760000000.0,B,4.62,L
37,241560,두산밥캣,3468620000000.0,B,0.8,H
38,10620,현대미포조선,3375110000000.0,B,1.56,L
39,36460,한국가스공사,3341730000000.0,B,0.35,H
40,8770,호텔신라,3261520000000.0,B,5.46,L
41,137310,에스디바이오센서,3139140000000.0,B,1.39,L
42,64350,현대로템,3099640000000.0,B,2.4,L
43,28670,팬오션,3063080000000.0,B,0.85,H
44,112610,씨에스윈드,2901390000000.0,B,3.24,L
45,47050,포스코인터내셔널,2788280000000.0,S,0.8,H
46,139480,이마트,2731830000000.0,S,0.27,H
47,30000,제일기획,2651700000000.0,S,2.09,L
48,307950,현대오토에버,2618990000000.0,S,1.91,L
49,23530,롯데쇼핑,2574280000000.0,S,0.26,H
50,180640,한진칼,2500230000000.0,S,1.57,L
51,6040,동원산업,2466640000000.0,S,0.59,H
52,12750,에스원,2253350000000.0,S,1.39,L
53,8930,한미사이언스,2226840000000.0,S,3.22,L
54,4370,농심,2171500000000.0,S,0.94,H
55,4170,신세계,2165940000000.0,S,0.58,H
56,14680,한솔케미칼,2102680000000.0,S,3.0,L
57,111770,영원무역,2080420000000.0,S,0.93,H
58,81660,휠라홀딩스,2020010000000.0,S,1.24,L
59,26960,동서,2013940000000.0,S,1.39,L
60,272210,한화시스템,1993100000000.0,S,0.89,H
61,880,한화,1922690000000.0,S,0.49,H
62,336260,두산퓨얼셀,1922240000000.0,S,4.64,L
63,7310,오뚜기,1907730000000.0,S,1.08,L
64,1440,대한전선,1860490000000.0,S,3.41,L
65,69620,대웅제약,1836470000000.0,S,3.06,L
66,80,하이트진로,1791910000000.0,S,1.63,L
67,16710,대성홀딩스,1761800000000.0,S,3.74,L
68,47040,대우건설,1737300000000.0,S,0.53,H
69,990,DB하이텍,1649410000000.0,S,1.46,L
70,5070,코스모신소재,1587710000000.0,S,7.58,L
71,4690,삼천리,1585510000000.0,S,1.0,L
72,298020,효성티앤씨,1514690000000.0,S,1.06,L
73,6280,녹십자,1513410000000.0,S,1.16,L
74,298050,효성첨단소재,1494060000000.0,S,2.47,L
75,4000,롯데정밀화학,1462860000000.0,S,0.66,H
76,4800,효성,1413870000000.0,S,0.51,H
77,1570,금양,1387400000000.0,S,9.45,L
78,69960,현대백화점,1380740000000.0,S,0.29,H
79,150,두산,1373130000000.0,S,0.68,H
80,11210,현대위아,1344800000000.0,S,0.4,H
81,240,한국앤컴퍼니,1324350000000.0,S,0.35,H
82,3090,대웅,1183190000000.0,S,1.16,L
83,14820,동원시스템즈,1177050000000.0,S,1.79,L
84,89590,제주항공,1147210000000.0,S,4.42,L
85,19170,신풍제약,1120630000000.0,S,3.07,L
86,12510,더존비즈온,1119610000000.0,S,2.35,L
