,종목코드,종목명
0,5930,삼성전자
1,207940,삼성바이오로직스
2,6400,삼성SDI
3,270,기아
4,35720,카카오
5,68270,셀트리온
6,28260,삼성물산
7,12330,현대모비스
8,96770,SK이노베이션
9,10130,고려아연
10,36570,엔씨소프트
11,34020,두산에너빌리티
12,9150,삼성전기
13,18260,삼성에스디에스
14,3490,대한항공
15,259960,크래프톤
16,9830,한화솔루션
17,90430,아모레퍼시픽
18,377300,카카오페이
19,352820,하이브
20,86280,현대글로비스
21,11170,롯데케미칼
22,11070,LG이노텍
23,251270,넷마블
24,271560,오리온
25,35250,강원랜드
26,267250,HD현대
27,10140,삼성중공업
28,28050,삼성엔지니어링
29,18880,한온시스템
30,100,유한양행
31,21240,코웨이
32,4020,현대제철
33,720,현대건설
34,161390,한국타이어앤테크놀로지
35,12450,한화에어로스페이스
36,128940,한미약품
37,241560,두산밥캣
38,10620,현대미포조선
39,36460,한국가스공사
40,8770,호텔신라
41,137310,에스디바이오센서
42,64350,현대로템
43,28670,팬오션
44,112610,씨에스윈드
45,47050,포스코인터내셔널
46,139480,이마트
47,30000,제일기획
48,307950,현대오토에버
49,23530,롯데쇼핑
50,180640,한진칼
51,6040,동원산업
52,12750,에스원
53,8930,한미사이언스
54,4370,농심
55,4170,신세계
56,14680,한솔케미칼
57,111770,영원무역
58,81660,휠라홀딩스
59,26960,동서
60,272210,한화시스템
61,880,한화
62,336260,두산퓨얼셀
63,7310,오뚜기
64,1440,대한전선
65,69620,대웅제약
66,80,하이트진로
67,16710,대성홀딩스
68,47040,대우건설
69,990,DB하이텍
70,5070,코스모신소재
71,4690,삼천리
72,298020,효성티앤씨
73,6280,녹십자
74,298050,효성첨단소재
75,4000,롯데정밀화학
76,4800,효성
77,1570,금양
78,69960,현대백화점
79,150,두산
80,11210,현대위아
81,240,한국앤컴퍼니
82,3090,대웅
83,14820,동원시스템즈
84,89590,제주항공
85,19170,신풍제약
86,12510,더존비즈온
87,42700,한미반도체
88,6650,대한유화
89,670,영풍
90,145720,덴티움
91,271940,일진하이솔루스
92,5850,에스엘
93,336370,솔루스첨단소재
94,9240,한샘
95,32350,롯데관광개발
96,20560,아시아나항공
97,89860,롯데렌탈
98,93370,후성
99,185750,종근당
100,161890,한국콜마
101,39130,하나투어
102,1800,오리온홀딩스
103,3230,삼양식품
104,103140,풍산
105,353200,대덕전자
106,9420,한올바이오파마
107,8730,율촌화학
108,31430,신세계인터내셔날
109,377740,바이오노트
110,10780,아이에스동서
111,248070,솔루엠
