회사명,거래소코드,회계년도,배당성향,자본(*)(IFRS연결)(천원),회계년,시가총액,종목명,기업구분,PBR
(주)DB하이텍,000990,2007-12-01,0.0,835716158.0,2007,358573662320.0,DB하이텍,B,0.4290615406768287
(주)DB하이텍,000990,2008-12-01,0.0,844331741.0,2008,140604300900.0,DB하이텍,S,0.16652731867390497
(주)DB하이텍,000990,2009-12-01,0.0,607545037.0,2009,266866086480.0,DB하이텍,S,0.4392531750366352
(주)DB하이텍,000990,2010-12-01,0.0,398016157.0,2010,457022541600.0,DB하이텍,B,1.1482512294092624
(주)DB하이텍,000990,2011-12-01,0.0,308061688.0,2011,310154630250.0,DB하이텍,S,1.0067939063230738
(주)DB하이텍,000990,2012-12-01,0.0,290893335.0,2012,310154630250.0,DB하이텍,S,1.0662142886498243
(주)DB하이텍,000990,2013-12-01,0.0,204756748.0,2013,334089774960.0,DB하이텍,S,1.6316423181325383
(주)DB하이텍,000990,2014-12-01,0.0,120702734.0,2014,204757544680.0,DB하이텍,S,1.6963786808673282
(주)DB하이텍,000990,2015-12-01,0.0,254057491.0,2015,634459997600.0,DB하이텍,B,2.497308759142237
(주)DB하이텍,000990,2016-12-01,0.0,341917315.0,2016,705448528800.0,DB하이텍,B,2.0632138176447716
(주)DB하이텍,000990,2017-12-01,14.74,455797946.0,2017,532413984000.0,DB하이텍,S,1.1680921089539091
(주)DB하이텍,000990,2018-12-01,11.42,558391531.0,2018,481724679800.0,DB하이텍,S,0.8627005480138631
(주)DB하이텍,000990,2019-12-01,12.55,644650730.0,2019,1225401028800.0,DB하이텍,B,1.9008758879401253
(주)DB하이텍,000990,2020-12-01,9.18,794584513.0,2020,2264327988000.0,DB하이텍,B,2.849700630900668
(주)DB하이텍,000990,2021-12-01,6.17,1106049706.0,2021,3227777347600.0,DB하이텍,B,2.918293210594642
(주)DB하이텍,000990,2022-12-01,10.12,1638284078.0,2022,1649407544200.0,DB하이텍,B,1.0067897053687902
(주)DB하이텍,000990,2023-12-01,,1740082438.0,2023,2601757256800.0,DB하이텍,B,1.495191951819469
(주)HJ중공업,097230,2007-12-01,74.97,936466000.0,2007,3261541623600.0,HJ중공업,B,3.4828190490631803
(주)HJ중공업,097230,2008-12-01,7.51,2104845000.0,2008,1353847466400.0,HJ중공업,B,0.6432053031933468
(주)HJ중공업,097230,2009-12-01,23.02,2080926000.0,2009,1082909682300.0,HJ중공업,B,0.5203979777752789
(주)HJ중공업,097230,2010-12-01,0.0,1955791000.0,2010,1807239999600.0,HJ중공업,B,0.9240455649913514
(주)HJ중공업,097230,2011-12-01,0.0,1866848000.0,2011,895751025750.0,HJ중공업,B,0.4798200098508288
(주)HJ중공업,097230,2012-12-01,0.0,1715516000.0,2012,895751025750.0,HJ중공업,B,0.5221467044026403
(주)HJ중공업,097230,2013-12-01,0.0,1638998000.0,2013,834926003250.0,HJ중공업,B,0.5094124600823186
(주)HJ중공업,097230,2014-12-01,0.0,1573076000.0,2014,454672226925.0,HJ중공업,S,0.2890338590919956
(주)HJ중공업,097230,2015-12-01,0.0,1368589000.0,2015,398925013500.0,HJ중공업,S,0.29148635090593306
(주)HJ중공업,097230,2016-12-01,0.0,895183000.0,2016,356866689420.0,HJ중공업,S,0.3986522190658223
(주)HJ중공업,097230,2017-12-01,0.0,577198000.0,2017,351033801480.0,HJ중공업,S,0.6081687765376872
(주)HJ중공업,097230,2018-12-01,0.0,-708186000.0,2018,175516900740.0,HJ중공업,S,-0.24784011649481916
(주)HJ중공업,097230,2019-12-01,0.0,244994000.0,2019,415122290785.0,HJ중공업,S,1.6944181930373805
(주)HJ중공업,097230,2020-12-01,0.0,320003000.0,2020,609567736920.0,HJ중공업,S,1.9048813196126286
(주)HJ중공업,097230,2021-12-01,0.0,432005000.0,2021,669525219240.0,HJ중공업,S,1.5498089587851993
(주)HJ중공업,097230,2022-12-01,0.0,384990000.0,2022,326018810115.0,HJ중공업,S,0.8468240996259643
(주)MH에탄올,023150,2007-12-01,40.36,36597472.0,2007,38850000000.0,MH에탄올,S,1.0615487321091468
(주)MH에탄올,023150,2008-12-01,0.0,34442994.0,2008,40600000000.0,MH에탄올,S,1.1787593145938475
(주)MH에탄올,023150,2009-12-01,0.0,45096297.0,2009,38850000000.0,MH에탄올,S,0.8614898025884475
(주)MH에탄올,023150,2010-12-01,0.0,46625147.0,2010,19880000000.0,MH에탄올,S,0.42637935275571354
(주)MH에탄올,023150,2011-12-01,0.0,42667338.0,2011,19110000000.0,MH에탄올,S,0.44788357783183
(주)MH에탄올,023150,2012-12-01,0.0,39678259.0,2012,19110000000.0,MH에탄올,S,0.48162395431714883
(주)MH에탄올,023150,2013-12-01,0.0,45885523.0,2013,20930000000.0,MH에탄올,S,0.4561351518211964
(주)MH에탄올,023150,2014-12-01,31.95,52788681.0,2014,54896233440.0,MH에탄올,S,1.0399243246861956
(주)MH에탄올,023150,2015-12-01,23.49,57884347.0,2015,64635887760.0,MH에탄올,S,1.1166384542612184
(주)MH에탄올,023150,2016-12-01,26.58,63581883.0,2016,58290355400.0,MH에탄올,S,0.9167761734895458
(주)MH에탄올,023150,2017-12-01,40.91,106837344.0,2017,46779854840.0,MH에탄올,S,0.4378605185093332
(주)MH에탄올,023150,2018-12-01,35.83,91585473.0,2018,43459518140.0,MH에탄올,S,0.47452414358333883
(주)MH에탄올,023150,2019-12-01,0.0,79389077.0,2019,45304149640.0,MH에탄올,S,0.5706597349658065
(주)MH에탄올,023150,2020-12-01,196.99,80425495.0,2020,62053403660.0,MH에탄올,S,0.7715638388050953
(주)MH에탄올,023150,2021-12-01,46.13,84703339.0,2021,75260965200.0,MH에탄올,S,0.8885241843890003
(주)MH에탄올,023150,2022-12-01,28.62,95397727.0,2022,56150582860.0,MH에탄올,S,0.5885945569751363
(주)MH에탄올,023150,2023-12-01,,99070017.0,2023,50395332580.0,MH에탄올,S,0.5086840005286363
(주)SH에너지화학,002360,2007-12-01,0.0,64164020.0,2007,77021594710.0,SH에너지화학,S,1.2003860529623924
(주)SH에너지화학,002360,2008-12-01,0.0,73630260.0,2008,46676166600.0,SH에너지화학,S,0.633926412863407
(주)SH에너지화학,002360,2009-12-01,0.0,69687160.0,2009,57233870950.0,SH에너지화학,S,0.8212972224725473
(주)SH에너지화학,002360,2010-12-01,0.0,61526743.0,2010,42897619780.0,SH에너지화학,S,0.6972190902417832
(주)SH에너지화학,002360,2011-12-01,0.0,65242326.0,2011,35118258680.0,SH에너지화학,S,0.5382741669878539
(주)SH에너지화학,002360,2012-12-01,0.0,64881202.0,2012,35118258680.0,SH에너지화학,S,0.5412701614251845
(주)SH에너지화학,002360,2013-12-01,34.37,69599141.0,2013,80460820520.0,SH에너지화학,S,1.1560605398851116
(주)SH에너지화학,002360,2014-12-01,32.05,84237197.0,2014,190038678300.0,SH에너지화학,S,2.2559947988297853
(주)SH에너지화학,002360,2015-12-01,38.61,91646221.0,2015,160032571200.0,SH에너지화학,S,1.7461993462883756
(주)SH에너지화학,002360,2016-12-01,34.71,104088887.0,2016,175035624750.0,SH에너지화학,S,1.6815976209833043
(주)SH에너지화학,002360,2017-12-01,53.55,107693472.0,2017,156142890650.0,SH에너지화학,S,1.4498825950193155
(주)SH에너지화학,002360,2018-12-01,92.13,105390892.0,2018,122247103000.0,SH에너지화학,S,1.1599399215636206
(주)SH에너지화학,002360,2019-12-01,0.0,98999976.0,2019,113356404600.0,SH에너지화학,S,1.1450144654580523
(주)SH에너지화학,002360,2020-12-01,0.0,90008391.0,2020,92796664550.0,SH에너지화학,S,1.0309779290466374
(주)SH에너지화학,002360,2021-12-01,145.6,91739102.0,2021,108133119290.0,SH에너지화학,S,1.1787026135267817
(주)SH에너지화학,002360,2022-12-01,89.07,94101468.0,2022,91240792330.0,SH에너지화학,S,0.9696000951866128
(주)SH에너지화학,002360,2023-12-01,,90131775.0,2023,71236720930.0,SH에너지화학,S,0.7903618998960134
(주)SIMPAC,009160,2007-12-01,14.22,68929199.0,2007,85714710000.0,SIMPAC,S,1.2435181496886392
(주)SIMPAC,009160,2008-12-01,7.85,92346316.0,2008,69591525000.0,SIMPAC,S,0.7535928666607555
(주)SIMPAC,009160,2009-12-01,14.66,104179958.0,2009,84887880000.0,SIMPAC,S,0.814819679616304
(주)SIMPAC,009160,2010-12-01,13.43,145325032.0,2010,118375644750.0,SIMPAC,S,0.8145578440333665
(주)SIMPAC,009160,2011-12-01,12.74,168941269.0,2011,143388680250.0,SIMPAC,S,0.8487486870363214
(주)SIMPAC,009160,2012-12-01,12.0,187860952.0,2012,143388680250.0,SIMPAC,S,0.7632702736968989
(주)SIMPAC,009160,2013-12-01,11.26,208831047.0,2013,202431078000.0,SIMPAC,S,0.9693533643970094
(주)SIMPAC,009160,2014-12-01,21.15,219125252.0,2014,148914816000.0,SIMPAC,S,0.6795876542791152
(주)SIMPAC,009160,2015-12-01,16.7,232007841.0,2015,162875580000.0,SIMPAC,S,0.7020261871235637
(주)SIMPAC,009160,2016-12-01,16.12,240416530.0,2016,137862544500.0,SIMPAC,S,0.5734320535280998
(주)SIMPAC,009160,2017-12-01,27.89,240826100.0,2017,120120740250.0,SIMPAC,S,0.49878622063804545
(주)SIMPAC,009160,2018-12-01,5.82,435032869.0,2018,159648019040.0,SIMPAC,S,0.3669792110352011
(주)SIMPAC,009160,2019-12-01,31.57,441195485.0,2019,192689924620.0,SIMPAC,S,0.43674500572008346
(주)SIMPAC,009160,2020-12-01,13.11,463986165.0,2020,161610904520.0,SIMPAC,S,0.3483097486753727
(주)SIMPAC,009160,2021-12-01,17.11,546662289.0,2021,419403197560.0,SIMPAC,S,0.7672071148847803
(주)SIMPAC,009160,2022-12-01,22.84,599682757.0,2022,306537282460.0,SIMPAC,S,0.5111657436900424
(주)SIMPAC,009160,2023-12-01,,582578412.0,2023,257137997880.0,SIMPAC,S,0.4413792076456139
(주)SNT홀딩스,036530,2007-12-01,19.28,597462861.0,2007,380810000000.0,SNT홀딩스,B,0.6373785298765207
(주)SNT홀딩스,036530,2008-12-01,15.1,1058706649.0,2008,87649979560.0,SNT홀딩스,S,0.08278967515958238
(주)SNT홀딩스,036530,2009-12-01,18.99,1126491185.0,2009,249005623750.0,SNT홀딩스,S,0.22104533711908275
(주)SNT홀딩스,036530,2010-12-01,19.02,1277919679.0,2010,229085173850.0,SNT홀딩스,S,0.1792641412559388
(주)SNT홀딩스,036530,2011-12-01,102.03,1311007481.0,2011,188035129800.0,SNT홀딩스,S,0.143427960957608
(주)SNT홀딩스,036530,2012-12-01,64.5,1318022867.0,2012,188035129800.0,SNT홀딩스,S,0.14266454286031746
(주)SNT홀딩스,036530,2013-12-01,53.14,1374365240.0,2013,242505623750.0,SNT홀딩스,S,0.1764491830061127
(주)SNT홀딩스,036530,2014-12-01,43.21,1356040938.0,2014,292499090800.0,SNT홀딩스,S,0.21570078203641962
(주)SNT홀딩스,036530,2015-12-01,13.81,1529249091.0,2015,451111730600.0,SNT홀딩스,S,0.2949890460977884
(주)SNT홀딩스,036530,2016-12-01,79.84,1530892611.0,2016,250907164250.0,SNT홀딩스,S,0.16389599273465955
(주)SNT홀딩스,036530,2017-12-01,75.7,1519293154.0,2017,249324153750.0,SNT홀딩스,S,0.16410536247963636
(주)SNT홀딩스,036530,2018-12-01,101.44,1503275496.0,2018,211950518000.0,SNT홀딩스,S,0.14099246516288588
(주)SNT홀딩스,036530,2019-12-01,81.97,1625933047.0,2019,251895038700.0,SNT홀딩스,S,0.15492337717396798
(주)SNT홀딩스,036530,2020-12-01,41.87,1617529065.0,2020,242927901400.0,SNT홀딩스,S,0.15018456648258124
(주)SNT홀딩스,036530,2021-12-01,61.19,1780130380.0,2021,286948393600.0,SNT홀딩스,S,0.16119515560427658
(주)SNT홀딩스,036530,2022-12-01,53.2,1816295611.0,2022,255971010200.0,SNT홀딩스,S,0.140930258626276
(주)SNT홀딩스,036530,2023-12-01,,1952822454.0,2023,281894188940.0,SNT홀딩스,S,0.14435218540353797
(주)STX,011810,2007-12-01,15.27,2138810748.0,2007,2884939445500.0,STX,B,1.348852135794485
(주)STX,011810,2008-12-01,50.8,4041815714.0,2008,655038927200.0,STX,B,0.16206551054049367
(주)STX,011810,2009-12-01,0.0,3514601933.0,2009,839015486400.0,STX,B,0.23872276360009617
(주)STX,011810,2010-12-01,40.55,1622889000.0,2010,1423329843000.0,STX,B,0.8770346234400505
(주)STX,011810,2011-12-01,17.33,1915942000.0,2011,692323146900.0,STX,B,0.36134869787290014
(주)STX,011810,2012-12-01,0.0,1506639000.0,2012,692323146900.0,STX,B,0.459514951424993
(주)STX,011810,2013-12-01,0.0,-509663000.0,2013,158609622840.0,STX,S,-0.31120489978672183
(주)STX,011810,2014-12-01,0.0,93662000.0,2014,100727755500.0,STX,S,1.0754388706198885
(주)STX,011810,2015-12-01,0.0,72342000.0,2015,102636803850.0,STX,S,1.4187719975947581
(주)STX,011810,2016-12-01,0.0,-330596000.0,2016,78570572200.0,STX,S,-0.2376634085106898
(주)STX,011810,2017-12-01,0.0,42560000.0,2017,426018955500.0,STX,S,10.009843879229324
(주)STX,011810,2018-12-01,0.0,64028000.0,2018,231791098500.0,STX,S,3.620152097519835
(주)STX,011810,2019-12-01,0.0,56291000.0,2019,158012485020.0,STX,S,2.807064806452186
(주)STX,011810,2020-12-01,0.0,81729000.0,2020,110470651200.0,STX,S,1.3516701684836472
(주)STX,011810,2021-12-01,0.0,122530000.0,2021,117347961400.0,STX,S,0.9577080013058027
(주)STX,011810,2022-12-01,0.0,102407000.0,2022,157417997000.0,STX,S,1.5371800462858984
(주)TCC스틸,002710,2007-12-01,54.95,140222048.0,2007,66690000000.0,TCC스틸,S,0.47560280962377616
(주)TCC스틸,002710,2008-12-01,100.26,139444828.0,2008,32265000000.0,TCC스틸,S,0.2313818336812033
(주)TCC스틸,002710,2009-12-01,16.0,152770454.0,2009,71122500000.0,TCC스틸,S,0.4655514082585629
(주)TCC스틸,002710,2010-12-01,22.27,225226613.0,2010,75000000000.0,TCC스틸,S,0.3329979481598829
(주)TCC스틸,002710,2011-12-01,32.14,225441968.0,2011,82240000000.0,TCC스틸,S,0.3647945443769369
(주)TCC스틸,002710,2012-12-01,44.7,225998781.0,2012,82240000000.0,TCC스틸,S,0.36389576809266067
(주)TCC스틸,002710,2013-12-01,212.44,205738102.0,2013,62640000000.0,TCC스틸,S,0.3044647510163188
(주)TCC스틸,002710,2014-12-01,86.32,189038004.0,2014,50350000000.0,TCC스틸,S,0.2663485592029421
(주)TCC스틸,002710,2015-12-01,0.0,86012476.0,2015,48706650000.0,TCC스틸,S,0.5662742460756507
(주)TCC스틸,002710,2016-12-01,0.0,103337634.0,2016,55074262500.0,TCC스틸,S,0.5329545526463283
(주)TCC스틸,002710,2017-12-01,0.0,100915803.0,2017,42227325000.0,TCC스틸,S,0.4184411533642555
(주)TCC스틸,002710,2018-12-01,22.56,112246210.0,2018,44685000000.0,TCC스틸,S,0.3980980738681511
(주)TCC스틸,002710,2019-12-01,32.07,116843135.0,2019,60771600000.0,TCC스틸,S,0.5201127135111532
(주)TCC스틸,002710,2020-12-01,0.0,121130879.0,2020,121670000000.0,TCC스틸,S,1.0044507313448952
(주)TCC스틸,002710,2021-12-01,12.02,155229149.0,2021,227480000000.0,TCC스틸,S,1.46544641560845
(주)TCC스틸,002710,2022-12-01,12.98,208804980.0,2022,237359277650.0,TCC스틸,S,1.1367510374992014
(주)TCC스틸,002710,2023-12-01,,235047322.0,2023,1541365383600.0,TCC스틸,B,6.557681110699913
(주)강원랜드,035250,2007-12-01,45.5,1569420419.0,2007,5262936300000.0,강원랜드,B,3.3534266766794247
(주)강원랜드,035250,2008-12-01,48.02,1631372889.0,2008,2920287825000.0,강원랜드,B,1.790079904288516
(주)강원랜드,035250,2009-12-01,49.4,1889714656.0,2009,3530018250000.0,강원랜드,B,1.8680165488434461
(주)강원랜드,035250,2010-12-01,46.87,2099210537.0,2010,5979636975000.0,강원랜드,B,2.8485170351448175
(주)강원랜드,035250,2011-12-01,46.96,2257362696.0,2011,5819181600000.0,강원랜드,B,2.5778673539309698
(주)강원랜드,035250,2012-12-01,51.62,2372026990.0,2012,5819181600000.0,강원랜드,B,2.4532526925420863
(주)강원랜드,035250,2013-12-01,50.49,2517696496.0,2013,6621458475000.0,강원랜드,B,2.6299669104357366
(주)강원랜드,035250,2014-12-01,47.37,2705357485.0,2014,6503791200000.0,강원랜드,B,2.4040413276473145
(주)강원랜드,035250,2015-12-01,46.16,2997755205.0,2015,8215315200000.0,강원랜드,B,2.7404890120105723
(주)강원랜드,035250,2016-12-01,44.11,3252727459.0,2016,7648372875000.0,강원랜드,B,2.3513721857752485
(주)강원랜드,035250,2017-12-01,45.92,3501235933.0,2017,7445129400000.0,강원랜드,B,2.1264289360873527
(주)강원랜드,035250,2018-12-01,61.37,3586777089.0,2018,6846096000000.0,강원랜드,B,1.908704062205523
(주)강원랜드,035250,2019-12-01,54.37,3717759076.0,2019,6332638800000.0,강원랜드,B,1.7033483532809752
(주)강원랜드,035250,2020-12-01,0.0,3247028580.0,2020,5027601750000.0,강원랜드,B,1.5483700331334933
