일자,국고채권
2001-01-31,6.68
2001-02-28,5.7
2001-03-31,5.68
2001-04-30,6.29
2001-05-31,6.19
2001-06-30,5.84
2001-07-31,5.74
2001-08-31,5.29
2001-09-30,5.0
2001-10-31,4.16
2001-11-30,4.51
2001-12-31,5.12
2002-01-31,5.48
2002-02-28,4.99
2002-03-31,4.96
2002-04-30,5.42
2002-05-31,5.32
2002-06-30,5.38
2002-07-31,5.38
2002-08-31,5.16
2002-09-30,5.04
2002-10-31,5.06
2002-11-30,5.08
2002-12-31,5.06
2003-01-31,4.97
2003-02-28,4.66
2003-03-31,4.57
2003-04-30,4.6
2003-05-31,4.39
2003-06-30,4.23
2003-07-31,4.45
2003-08-31,4.18
2003-09-30,4.12
2003-10-31,4.0
2003-11-30,4.28
2003-12-31,4.68
2004-01-31,4.64
2004-02-29,4.49
2004-03-31,4.38
2004-04-30,4.13
2004-05-31,4.09
2004-06-30,4.05
2004-07-31,4.12
2004-08-31,3.98
2004-09-30,3.51
2004-10-31,3.48
2004-11-30,3.42
2004-12-31,3.27
2005-01-31,3.35
2005-02-28,3.75
2005-03-31,3.81
2005-04-30,3.78
2005-05-31,3.64
2005-06-30,3.56
2005-07-31,3.76
2005-08-31,3.86
2005-09-30,3.92
2005-10-31,4.47
2005-11-30,4.46
2005-12-31,4.64
2006-01-31,4.72
2006-02-28,4.6
2006-03-31,4.57
2006-04-30,4.59
2006-05-31,4.6
2006-06-30,4.55
2006-07-31,4.82
2006-08-31,4.78
2006-09-30,4.73
2006-10-31,4.63
2006-11-30,4.65
2006-12-31,4.82
2007-01-31,4.96
2007-02-28,4.98
2007-03-31,4.94
2007-04-30,4.88
2007-05-31,5.07
2007-06-30,5.08
2007-07-31,5.21
2007-08-31,5.22
2007-09-30,5.4
2007-10-31,5.41
2007-11-30,5.33
2007-12-31,5.48
2008-01-31,5.77
2008-02-29,5.06
2008-03-31,4.91
2008-04-30,5.13
2008-05-31,4.95
2008-06-30,5.12
2008-07-31,5.33
2008-08-31,5.37
2008-09-30,5.49
2008-10-31,5.57
2008-11-30,4.96
2008-12-31,4.78
2009-01-31,3.24
2009-02-28,2.59
2009-03-31,2.54
2009-04-30,2.64
2009-05-31,2.62
2009-06-30,2.43
2009-07-31,2.93
2009-08-31,2.85
2009-09-30,3.43
2009-10-31,3.54
2009-11-30,3.5
2009-12-31,3.09
2010-01-31,3.5
2010-02-28,3.22
2010-03-31,3.06
2010-04-30,2.66
2010-05-31,2.68
2010-06-30,2.75
2010-07-31,3.07
2010-08-31,3.15
2010-09-30,3.18
2010-10-31,2.82
2010-11-30,2.88
2010-12-31,2.81
2011-01-31,2.91
2011-02-28,3.35
2011-03-31,3.41
2011-04-30,3.4
2011-05-31,3.48
2011-06-30,3.42
2011-07-31,3.57
2011-08-31,3.71
2011-09-30,3.43
2011-10-31,3.46
2011-11-30,3.5
2011-12-31,3.4
2012-01-31,3.38
2012-02-29,3.38
2012-03-31,3.45
2012-04-30,3.48
2012-05-31,3.43
2012-06-30,3.3
2012-07-31,3.31
2012-08-31,2.82
2012-09-30,2.8
2012-10-31,2.81
2012-11-30,2.77
2012-12-31,2.82
2013-01-31,2.78
2013-02-28,2.75
2013-03-31,2.63
2013-04-30,2.52
2013-05-31,2.52
2013-06-30,2.64
2013-07-31,2.74
2013-08-31,2.68
2013-09-30,2.68
2013-10-31,2.66
2013-11-30,2.667
2013-12-31,2.74
2014-01-31,2.703
2014-02-28,2.654
2014-03-31,2.671
2014-04-30,2.657
2014-05-31,2.648
2014-06-30,2.641
2014-07-31,2.574
2014-08-31,2.426
2014-09-30,2.36
2014-10-31,2.147
2014-11-30,2.065
2014-12-31,2.012
2015-01-31,2.074
2015-02-28,1.967
2015-03-31,1.979
2015-04-30,1.713
2015-05-31,1.772
2015-06-30,1.684
2015-07-31,1.614
2015-08-31,1.596
2015-09-30,1.59
2015-10-31,1.535
2015-11-30,1.576
2015-12-31,1.654
2016-01-31,1.605
2016-02-29,1.518
2016-03-31,1.469
2016-04-30,1.483
2016-05-31,1.491
2016-06-30,1.463
2016-07-31,1.272
2016-08-31,1.249
2016-09-30,1.328
2016-10-31,1.315
2016-11-30,1.428
2016-12-31,1.596
2017-01-31,1.558
2017-02-28,1.492
2017-03-31,1.48
2017-04-30,1.462
2017-05-31,1.469
2017-06-30,1.46
2017-07-31,1.474
2017-08-31,1.443
2017-09-30,1.465
2017-10-31,1.554
2017-11-30,1.765
2017-12-31,1.807
2018-01-31,1.851
2018-02-28,1.852
2018-03-31,1.854
2018-04-30,1.883
2018-05-31,1.879
2018-06-30,1.848
2018-07-31,1.844
2018-08-31,1.877
2018-09-30,1.764
2018-10-31,1.849
2018-11-30,1.834
2018-12-31,1.845
2019-01-31,1.733
2019-02-28,1.751
2019-03-31,1.787
2019-04-30,1.74
2019-05-31,1.749
2019-06-30,1.619
2019-07-31,1.556
2019-08-31,1.42
2019-09-30,1.154
2019-10-31,1.287
2019-11-30,1.364
2019-12-31,1.376
2020-01-31,1.319
2020-02-29,1.256
2020-03-31,1.121
2020-04-30,0.984
2020-05-31,0.856
2020-06-30,0.689
2020-07-31,0.712
2020-08-31,0.655
2020-09-30,0.746
2020-10-31,0.679
2020-11-30,0.698
2020-12-31,0.715
2021-01-31,0.726
2021-02-28,0.678
2021-03-31,0.671
2021-04-30,0.693
2021-05-31,0.642
2021-06-30,0.629
2021-07-31,0.955
2021-08-31,0.944
2021-09-30,1.066
2021-10-31,1.102
2021-11-30,1.471
2021-12-31,1.319
2022-01-31,1.363
2022-02-28,1.452
2022-03-31,1.487
2022-04-30,1.823
2022-05-31,2.012
2022-06-30,2.181
2022-07-31,2.964
2022-08-31,2.924
2022-09-30,3.303
2022-10-31,3.331
2022-11-30,3.766
2022-12-31,3.702
2023-01-31,3.769
2023-02-28,3.447
2023-03-31,3.74
2023-04-30,3.308
2023-05-31,3.324
2023-06-30,3.546
2023-07-31,3.559
2023-08-31,3.494
2023-09-30,3.497
2023-10-31,3.757
2023-11-30,3.731
2023-12-31,3.639
