회사명,거래소코드,회계년도,배당성향
(주)DB하이텍,000990,2022/12,10.12
(주)HJ중공업,097230,2022/12,0
(주)MH에탄올,023150,2022/12,28.62
(주)SH에너지화학,002360,2022/12,89.07
(주)SIMPAC,009160,2022/12,22.84
(주)SNT에너지,100840,2022/12,80.93
(주)SNT홀딩스,036530,2022/12,53.2
(주)STX,011810,2022/12,0
(주)TCC스틸,002710,2022/12,12.98
(주)강원랜드,035250,2022/12,61.23
(주)갤럭시아에스엠,011420,2022/12,0
(주)경농,002100,2022/12,38.21
(주)경동나비엔,009450,2022/12,16.54
(주)경동도시가스,267290,2022/12,21.94
(주)경동인베스트,012320,2022/12,0
(주)경방,000050,2022/12,0
(주)경보제약,214390,2022/12,195.77
(주)경인양행,012610,2022/12,27.05
(주)광명전기,017040,2022/12,10.23
(주)광주신세계,037710,2022/12,30.74
(주)국동,005320,2022/12,0
(주)국보,001140,2022/12,0
(주)금양,001570,2022/12,0
(주)금호에이치티,214330,2022/12,0
(주)까뮤이앤씨,013700,2022/12,0
(주)나이스홀딩스,034310,2022/12,0
(주)남선알미늄,008350,2022/12,0
(주)남성,004270,2022/12,24.53
(주)넥센,005720,2022/12,19.09
(주)노루페인트,090350,2022/12,75.79
(주)노루홀딩스,000320,2022/12,16.03
(주)녹십자,006280,2022/12,36.78
(주)녹십자홀딩스,005250,2022/12,84.5
(주)농심,004370,2022/12,37.47
(주)농심홀딩스,072710,2022/12,92.11
(주)다우기술,023590,2022/12,34.76
(주)다이나믹디자인,145210,2022/12,0
(주)대교,019680,2022/12,0
(주)대구백화점,006370,2022/12,0
(주)대덕,008060,2022/12,0
(주)대동,000490,2022/12,20.61
(주)대양금속,009190,2022/12,0
(주)대우건설,047040,2022/12,0
(주)대웅,003090,2022/12,7.71
(주)대웅제약,069620,2022/12,13.68
(주)대유에이텍,002880,2022/12,0
(주)대유플러스,000300,2022/12,0
(주)대창,012800,2022/12,0
(주)대한항공,003490,2022/12,15.57
(주)대현,016090,2022/12,19.15
(주)대호에이엘,069460,2022/12,0
(주)더블유게임즈,192080,2022/12,0
(주)더존비즈온,012510,2022/12,31
(주)덕성,004830,2022/12,14.03
(주)덴티움,145720,2022/12,4.21
(주)도화엔지니어링,002150,2022/12,238.29
(주)동남합성,023450,2022/12,29.07
(주)동방,004140,2022/12,0
(주)동방아그로,007590,2022/12,45.93
(주)동서,026960,2022/12,42.91
(주)동성케미컬,102260,2022/12,71.78
(주)동아지질,028100,2022/12,0
(주)동양,001520,2022/12,0
(주)동양고속,084670,2022/12,0
(주)동원에프앤비,049770,2022/12,18.36
(주)동인기연,111380,2022/12,
(주)두산,000150,2022/12,20.39
(주)두올,016740,2022/12,18.41
(주)드림텍,192650,2022/12,24.4
(주)디비아이엔씨,012030,2022/12,0
(주)디아이,003160,2022/12,23.91
(주)디아이씨,092200,2022/12,0
(주)디알비동일,004840,2022/12,0
(주)디에스단석,017860,2022/12,
(주)디엔오토모티브,007340,2022/12,56.89
(주)락앤락,115390,2022/12,189.51
(주)마니커,027740,2022/12,0
